step,weight:l:0:0:0, weight:l:0:0:1, weight:l:0:0:2, weight:l:0:1:0, weight:l:0:1:1, weight:l:0:1:2, bias:l:0:0, bias:l:0:1, bias:l:0:2, weight:l:1:0:0, weight:l:1:0:1, weight:l:1:0:2, weight:l:1:1:0, weight:l:1:1:1, weight:l:1:1:2, weight:l:1:2:0, weight:l:1:2:1, weight:l:1:2:2, bias:l:1:0, bias:l:1:1, bias:l:1:2, weight:l:2:0:0, weight:l:2:0:1, weight:l:2:0:2, weight:l:2:1:0, weight:l:2:1:1, weight:l:2:1:2, weight:l:2:2:0, weight:l:2:2:1, weight:l:2:2:2, bias:l:2:0, bias:l:2:1, bias:l:2:2, weight:l:3:0:0, weight:l:3:1:0, weight:l:3:2:0, bias:l:3:0, error
369,-1.64709, -0.133377, 6.23102, 4.05745, 5.4505, 0.332921, -1.53917, -2.70088, -3.2392, 2.65128, 2.68495, -0.763092, 3.90286, 2.86752, 0.58425, 0.816368, -3.00549, 5.417, -3.28108, -1.68625, -2.34955, 1.89735, 3.99477, 4.78655, 4.06575, 0.594571, 3.72306, -4.42958, 5.33578, -1.52537, -3.0436, -2.21162, -1.3092, 5.58048, 4.63449, -5.05365, -1.89632, 0.0185911
379,-1.65277, -0.137221, 6.23441, 4.05583, 5.45161, 0.332982, -1.53204, -2.69905, -3.24182, 2.65834, 2.68694, -0.766188, 3.90948, 2.8659, 0.583699, 0.804456, -3.01361, 5.42816, -3.28261, -1.67355, -2.35538, 1.90408, 4.00992, 4.79961, 4.0795, 0.603193, 3.74198, -4.44777, 5.3511, -1.5521, -3.05255, -2.20918, -1.29222, 5.62828, 4.6646, -5.11982, -1.88979, 0.0175076
389,-1.65818, -0.140859, 6.23763, 4.05423, 5.45263, 0.333026, -1.52528, -2.69732, -3.24427, 2.66498, 2.68878, -0.769171, 3.91571, 2.86428, 0.583115, 0.793248, -3.02138, 5.43872, -3.28403, -1.66161, -2.3608, 1.91046, 4.02416, 4.81204, 4.09255, 0.611294, 3.75992, -4.46508, 5.36545, -1.57735, -3.06084, -2.20667, -1.27655, 5.67408, 4.69268, -5.18264, -1.88331, 0.0165327
399,-1.66336, -0.144307, 6.24071, 4.05268, 5.45356, 0.333054, -1.51888, -2.69568, -3.24657, 2.67125, 2.69049, -0.772047, 3.92158, 2.86267, 0.582505, 0.78268, -3.02883, 5.44872, -3.28536, -1.65036, -2.36585, 1.91652, 4.03757, 4.8239, 4.10496, 0.618923, 3.77697, -4.48158, 5.37892, -1.60123, -3.06855, -2.20413, -1.26203, 5.71803, 4.71897, -5.24239, -1.8769, 0.0156517
409,-1.6683, -0.147581, 6.24365, 4.05116, 5.45443, 0.333067, -1.51282, -2.69412, -3.24873, 2.67719, 2.69207, -0.774823, 3.92713, 2.86108, 0.581875, 0.772694, -3.03597, 5.45821, -3.2866, -1.63975, -2.37058, 1.92231, 4.05024, 4.83524, 4.11678, 0.626122, 3.79321, -4.49735, 5.3916, -1.62387, -3.07574, -2.20157, -1.24855, 5.76028, 4.74364, -5.29933, -1.87059, 0.0148525
419,-1.67303, -0.150694, 6.24645, 4.04968, 5.45524, 0.333068, -1.50705, -2.69264, -3.25076, 2.68281, 2.69355, -0.777505, 3.9324, 2.85952, 0.581228, 0.763243, -3.04281, 5.46724, -3.28777, -1.62973, -2.37502, 1.92783, 4.06223, 4.8461, 4.12806, 0.632931, 3.8087, -4.51243, 5.40356, -1.64536, -3.08247, -2.19902, -1.23599, 5.80095, 4.76687, -5.35368, -1.86439, 0.0141248
429,-1.67755, -0.153657, 6.24914, 4.04824, 5.456, 0.333058, -1.50157, -2.69124, -3.25268, 2.68815, 2.69493, -0.780098, 3.9374, 2.85799, 0.58057, 0.754279, -3.04939, 5.47584, -3.28888, -1.62024, -2.37919, 1.93312, 4.07361, 4.85652, 4.13885, 0.639382, 3.82349, -4.52688, 5.41486, -1.6658, -3.08879, -2.19648, -1.22426, 5.84014, 4.78878, -5.40564, -1.8583, 0.0134598
439,-1.68189, -0.156482, 6.25172, 4.04685, 5.4567, 0.333037, -1.49634, -2.68991, -3.2545, 2.69323, 2.69623, -0.782608, 3.94216, 2.85649, 0.579902, 0.745764, -3.0557, 5.48405, -3.28994, -1.61126, -2.38313, 1.93818, 4.08441, 4.86653, 4.14917, 0.645506, 3.83764, -4.54074, 5.42557, -1.68526, -3.09474, -2.19397, -1.21329, 5.87795, 4.8095, -5.45541, -1.85232, 0.0128503
449,-1.68605, -0.159179, 6.25419, 4.0455, 5.45737, 0.333007, -1.49136, -2.68865, -3.25623, 2.69808, 2.69745, -0.785038, 3.94669, 2.85502, 0.579229, 0.737662, -3.06177, 5.4919, -3.29094, -1.60274, -2.38685, 1.94303, 4.0947, 4.87616, 4.15907, 0.651328, 3.85119, -4.55406, 5.43573, -1.70382, -3.10036, -2.1915, -1.20299, 5.91448, 4.82915, -5.50313, -1.84647, 0.0122899
459,-1.69004, -0.161756, 6.25657, 4.0442, 5.458, 0.332969, -1.48661, -2.68744, -3.25787, 2.7027, 2.6986, -0.787394, 3.95103, 2.8536, 0.578551, 0.72994, -3.0676, 5.4994, -3.2919, -1.59464, -2.39037, 1.9477, 4.1045, 4.88544, 4.16858, 0.656873, 3.8642, -4.56687, 5.4454, -1.72155, -3.10568, -2.18907, -1.19332, 5.94981, 4.84782, -5.54897, -1.84074, 0.0117731
469,-1.69387, -0.164223, 6.25885, 4.04293, 5.45859, 0.332924, -1.48206, -2.68629, -3.25942, 2.70713, 2.6997, -0.789678, 3.95518, 2.85221, 0.577872, 0.72257, -3.07323, 5.5066, -3.29282, -1.58693, -2.39371, 1.95218, 4.11387, 4.8944, 4.17771, 0.662162, 3.87669, -4.57921, 5.4546, -1.73851, -3.11072, -2.18668, -1.1842, 5.984, 4.86558, -5.59304, -1.83513, 0.0112952
479,-1.69756, -0.166586, 6.26105, 4.04171, 5.45915, 0.332872, -1.47771, -2.6852, -3.26091, 2.71137, 2.70073, -0.791896, 3.95915, 2.85085, 0.577192, 0.715525, -3.07864, 5.5135, -3.2937, -1.57959, -2.39688, 1.95651, 4.12282, 4.90305, 4.18651, 0.667213, 3.88871, -4.59111, 5.46338, -1.75474, -3.11552, -2.18434, -1.17559, 6.01713, 4.88252, -5.63548, -1.82964, 0.0108522
489,-1.70111, -0.168853, 6.26317, 4.04053, 5.45969, 0.332815, -1.47354, -2.68415, -3.26232, 2.71543, 2.70172, -0.794049, 3.96296, 2.84954, 0.576513, 0.708783, -3.08387, 5.52014, -3.29455, -1.57259, -2.39991, 1.96067, 4.1314, 4.91142, 4.19499, 0.672045, 3.90027, -4.60259, 5.47178, -1.77031, -3.12009, -2.18205, -1.16745, 6.04925, 4.8987, -5.67639, -1.82428, 0.0104406
499,-1.70452, -0.17103, 6.26522, 4.03939, 5.4602, 0.332752, -1.46953, -2.68315, -3.26368, 2.71933, 2.70266, -0.796142, 3.96663, 2.84826, 0.575836, 0.702321, -3.08891, 5.52652, -3.29537, -1.56591, -2.40279, 1.96469, 4.13963, 4.91953, 4.20316, 0.676671, 3.91142, -4.61369, 5.47981, -1.78526, -3.12445, -2.17981, -1.15973, 6.08044, 4.91419, -5.71586, -1.81902, 0.0100572
509,-1.70781, -0.173122, 6.26719, 4.03829, 5.46069, 0.332685, -1.46569, -2.68219, -3.26497, 2.72309, 2.70356, -0.798178, 3.97015, 2.84702, 0.575163, 0.696121, -3.09378, 5.53267, -3.29616, -1.55952, -2.40554, 1.96858, 4.14752, 4.92738, 4.21106, 0.681107, 3.92218, -4.62442, 5.4875, -1.79962, -3.12863, -2.17762, -1.15241, 6.11073, 4.92902, -5.754, -1.81388, 0.00969941
middleData
0.0953641,0.233988,0.531217
0.918364,0.949002,0.999244
0.000698512,0.96767,0.0867855
0.0285391,0.999336,0.978114
