step,weight:l:0:0:0, weight:l:0:1:0, weight:l:0:2:0, weight:l:0:3:0, bias:l:0:0, error
-0.128915,-0.173704,0.0252752,0.104955
-0.213573,-0.144059,0.0418831,0.0841562
-0.27863,-0.0994876,0.0590912,0.0606833
-0.316511,-0.0420252,0.0710867,0.0440666
-0.322068,0.0211409,0.0720128,0.040711
-0.294917,0.0799783,0.0612799,0.0513787
-0.239649,0.126557,0.0442405,0.0708615
-0.163716,0.158181,0.0274021,0.0900906
-0.0747417,0.176348,0.013755,0.0999665
0.0207964,0.183281,0.00195147,0.0954594
0.117101,0.178971,-0.0117167,0.0783253
0.20755,0.160409,-0.030333,0.0572249
0.283525,0.123624,-0.0530026,0.0449334
0.334978,0.0680709,-0.0728494,0.0534356
0.353404,0.00056345,-0.0800848,0.0885485
0.335791,-0.0657057,-0.0700445,0.14603
0.286435,-0.117701,-0.047748,0.210751
0.214972,-0.148975,-0.0231008,0.259554
0.13235,-0.160625,-0.00329175,0.267232
0.0476557,-0.157818,0.00965027,0.213996
-0.0329811,-0.146128,0.0168332,0.092205
-0.106062,-0.129811,0.0201314,-0.0896528
-0.169921,-0.111575,0.0211819,-0.307066
-0.223962,-0.092809,0.0213311,-0.523805
-0.268024,-0.0737878,0.0217607,-0.69939
-0.301835,-0.0538587,0.0233877,-0.797859
-0.324608,-0.0318144,0.0265521,-0.795654
-0.334904,-0.00650582,0.0307831,-0.686817
-0.330833,0.0225188,0.0349705,-0.484392
-0.310529,0.0547211,0.0379823,-0.217915
-0.272624,0.0888491,0.0393331,0.0722631
-0.216464,0.123572,0.0393296,0.342516
-0.142013,0.1579,0.0384389,0.553812
-0.0497363,0.190781,0.0360512,0.678474
0.0590028,0.21947,0.0289426,0.704732
0.180344,0.236729,0.0101575,0.638343
0.304855,0.228483,-0.0288385,0.501055
0.414366,0.17709,-0.0875914,0.32609
0.483315,0.0756734,-0.142161,0.151336
0.489109,-0.0557189,-0.1555,0.0114093
0.426128,-0.177253,-0.119828,-0.069895
0.308552,-0.259683,-0.0669116,-0.0850282
0.158772,-0.300896,-0.0264569,-0.0444934
-0.00446362,-0.312671,-0.000216599,0.0258259
-0.167634,-0.300335,0.0281632,0.0916032
-0.31631,-0.255291,0.0738832,0.119823
-0.429601,-0.164812,0.131089,0.0888679
-0.483503,-0.0340587,0.165126,-0.00402131
-0.464493,0.103081,0.145556,-0.140444
-0.380555,0.20582,0.0871937,-0.284968
-0.255863,0.257334,0.0295049,-0.395051
-0.115792,0.267021,-0.00755604,-0.434186
0.022025,0.251218,-0.0282433,-0.384344
0.147064,0.219453,-0.0437203,-0.253619
0.251592,0.173449,-0.0605,-0.0760696
0.327909,0.112808,-0.0768784,0.0969295
0.368967,0.0412634,-0.0852014,0.21179
0.371336,-0.0314737,-0.0795804,0.229907
0.337431,-0.0942928,-0.0627329,0.141484
0.274398,-0.141347,-0.043866,-0.028826
0.190457,-0.174192,-0.0305428,-0.227
0.0917564,-0.198127,-0.0236807,-0.384618
-0.0180849,-0.216492,-0.0179245,-0.439627
-0.135661,-0.226188,-0.00404049,-0.356584
-0.253753,-0.215846,0.027469,-0.139814
-0.357533,-0.169248,0.0780971,0.16513
-0.424744,-0.0773107,0.130181,0.482842
-0.433502,0.0474729,0.152509,0.729277
-0.374355,0.173311,0.132572,0.83652
-0.254971,0.272201,0.0914553,0.773419
-0.0926555,0.33615,0.0534167,0.555473
0.0946659,0.366916,0.0162868,0.240602
0.287673,0.354031,-0.0454797,-0.0880751
0.456349,0.269019,-0.14711,-0.347215
0.556909,0.0974427,-0.241586,-0.47807
0.551934,-0.116474,-0.24303,-0.463314
0.44051,-0.291954,-0.154511,-0.330528
0.257164,-0.388131,-0.0633732,-0.141345
0.0412351,-0.420864,-0.0107817,0.0300562
-0.180518,-0.411654,0.0316444,0.121942
-0.384934,-0.350443,0.10703,0.105236
-0.537189,-0.210195,0.210691,-0.0077017
-0.595329,-0.00248135,0.259875,-0.168496
-0.540909,0.199007,0.196588,-0.310389
-0.398365,0.323958,0.0864785,-0.372003
-0.212648,0.367597,0.0123859,-0.319134
-0.0177112,0.365342,-0.0174921,-0.157193
0.169934,0.341668,-0.0361451,0.0698616
0.339176,0.292839,-0.0744705,0.293687
0.471828,0.199813,-0.136276,0.443952
0.541988,0.0585906,-0.183656,0.471414
0.531042,-0.0982171,-0.171583,0.363916
0.443772,-0.222965,-0.111027,0.150087
0.304479,-0.29536,-0.0529778,-0.110313
0.138199,-0.329311,-0.0239354,-0.34594
-0.0406025,-0.345265,-0.0122095,-0.496587
-0.224115,-0.345265,0.0122132,-0.531479
-0.398723,-0.305527,0.0778096,-0.457193
-0.534404,-0.193096,0.176896,-0.312968
-0.590475,-0.0100245,0.237842,-0.155458
-0.543246,0.183027,0.199505,-0.0385266
-0.407141,0.31809,0.106472,0.00484574
-0.219658,0.380534,0.0349906,-0.027536
-0.0131603,0.395084,-0.00202738,-0.10842
0.192442,0.377239,-0.0383971,-0.192724
0.37761,0.313045,-0.10703,-0.234942
0.51126,0.179438,-0.195652,-0.206003
0.557512,-0.010097,-0.233728,-0.103683
0.501892,-0.192201,-0.178819,0.0468771
0.365858,-0.308473,-0.0845857,0.202364
0.188323,-0.352988,-0.0162611,0.316654
0.000657753,-0.351594,0.0194156,0.356729
-0.178429,-0.321455,0.0488621,0.313599
-0.333548,-0.258748,0.0931996,0.204623
-0.444569,-0.153529,0.145167,0.0668181
-0.490035,-0.014982,0.168705,-0.0560829
-0.460812,0.121295,0.140023,-0.128031
-0.368521,0.21923,0.0818439,-0.131447
-0.237324,0.269778,0.0326675,-0.0709155
-0.0891062,0.286961,0.00626155,0.030928
0.062985,0.286227,-0.00792646,0.143224
0.210908,0.270309,-0.0281326,0.238366
0.344249,0.228333,-0.0669601,0.300788
0.445414,0.146864,-0.117605,0.330035
0.493169,0.0291231,-0.14913,0.337491
0.474903,-0.0960499,-0.134442,0.338691
0.396609,-0.192767,-0.0846661,0.344731
0.278902,-0.244921,-0.0334877,0.356535
0.144228,-0.259462,0.000546635,0.364365
0.00871489,-0.250169,0.0205079,0.352701
-0.117501,-0.224817,0.0369245,0.308313
-0.226228,-0.183537,0.056593,0.227955
-0.308422,-0.124247,0.0777262,0.122165
-0.354958,-0.04985,0.0908159,0.0131882
-0.360427,0.0285832,0.0868699,-0.0725218
-0.326587,0.0964812,0.0669491,-0.114533
-0.261932,0.144317,0.0414196,-0.107294
-0.177604,0.171533,0.0202386,-0.0638628
-0.0832589,0.183279,0.00637052,-0.0124963
0.0143715,0.184549,-0.00349432,0.0131723
0.110229,0.176306,-0.0151797,-0.0129221
0.198503,0.154926,-0.0332555,-0.0979772
0.270782,0.114911,-0.0573964,-0.225154
0.316369,0.0541589,-0.0802335,-0.357023
0.325461,-0.02132,-0.0907598,-0.447051
0.293585,-0.0981445,-0.0832818,-0.45554
0.223886,-0.162401,-0.0622874,-0.364544
0.125478,-0.20603,-0.0365523,-0.186368
0.0100425,-0.226745,-0.0103775,0.037809
-0.110048,-0.223276,0.0182381,0.249262
-0.221218,-0.19224,0.0520714,0.389618
-0.308028,-0.131031,0.0865949,0.419481
-0.35547,-0.0453361,0.107542,0.331487
-0.354785,0.0470873,0.101838,0.153203
-0.308422,0.123922,0.0722272,-0.0613814
-0.228948,0.171185,0.0348442,-0.249124
-0.132716,0.188236,0.00378386,-0.35813
-0.0338868,0.182572,-0.0166154,-0.364485
0.0578454,0.162645,-0.0285283,-0.279717
0.136637,0.134343,-0.0355892,-0.146449
0.198986,0.100761,-0.0404891,-0.0236999
0.242499,0.0632334,-0.044527,0.0332342
0.265281,0.0224462,-0.0478743,-0.00840607
0.265801,-0.0208074,-0.0501146,-0.147614
0.243045,-0.0653814,-0.0508651,-0.349642
0.196661,-0.109949,-0.0501015,-0.557148
0.12701,-0.153162,-0.0477937,-0.708652
0.0352596,-0.193134,-0.0427608,-0.75808
-0.0759285,-0.225697,-0.0310109,-0.688984
-0.200469,-0.241511,-0.00481182,-0.518906
-0.325537,-0.224447,0.0434685,-0.292773
-0.429065,-0.157673,0.107803,-0.0678442
-0.48349,-0.041029,0.156449,0.104549
-0.468809,0.0962936,0.154647,0.194387
-0.385408,0.212338,0.108245,0.200594
-0.251995,0.284479,0.055187,0.148827
-0.0915346,0.317077,0.0186602,0.0807206
0.0784437,0.322007,-0.00749167,0.0386251
0.244211,0.299792,-0.0428307,0.0511743
0.388394,0.237364,-0.0985996,0.124407
0.486427,0.125,-0.155955,0.241039
0.514939,-0.0193907,-0.171153,0.367555
0.468123,-0.151282,-0.127641,0.466249
0.363556,-0.234373,-0.0605954,0.507824
0.229448,-0.265388,-0.00966589,0.480346
0.0888913,-0.262424,0.0163797,0.391896
-0.0450789,-0.242482,0.028799,0.266596
-0.165649,-0.211819,0.0406631,0.135939
