learning time, weight:l:0:0:0, weight:l:0:0:1, weight:l:0:1:0, weight:l:0:1:1, biasl:0:0, biasl:0:1, weight:l:1:0:0, weight:l:1:1:0, biasl:1:0, error
147, 0.0182907, 0.0337302, 0.0324182, 0.0471898, 0.077128, 0.0703836, -0.0721938, -0.0404165, -0.0848299, 0.502587
148, 0.017748, 0.0339317, 0.0324182, 0.0471898, 0.0765853, 0.070585, -0.0233192, 0.00866039, 0.00847135, 0.5
149, 0.017748, 0.0339317, 0.0329152, 0.0483876, 0.0770823, 0.0717828, 0.0227953, 0.0549661, 0.095938, 0.502337
150, 0.017748, 0.0339317, 0.0329152, 0.0483876, 0.0776745, 0.0716251, -0.0255059, 0.00678795, 0.00291888, 0.500006
151, 0.0181967, 0.0350919, 0.0329152, 0.0483876, 0.0781232, 0.0727853, 0.0204868, 0.0530025, 0.0907184, 0.502091
152, 0.0181967, 0.0350919, 0.0329152, 0.0483876, 0.0787644, 0.0726708, -0.0276952, 0.00494413, -0.0020247, 0.500024
153, 0.0181967, 0.0350919, 0.0333284, 0.0495214, 0.0791776, 0.0738046, 0.0188168, 0.0516621, 0.0860845, 0.501896
154, 0.0188991, 0.0350522, 0.0340308, 0.0494818, 0.07988, 0.073765, -0.0304839, 0.00172336, -0.00647655, 0.500058
155, 0.0205494, 0.0360189, 0.0356811, 0.0504484, 0.0815303, 0.0747317, -0.0766209, -0.0449622, -0.0930126, 0.503078
156, 0.01991, 0.0361245, 0.0356811, 0.0504484, 0.0808909, 0.0748373, -0.027342, 0.00451944, 0.000763084, 0.500016
157, 0.01991, 0.0361245, 0.0361024, 0.0515718, 0.0813122, 0.0759607, 0.0192153, 0.0512677, 0.0887548, 0.501981
158, 0.0211752, 0.0380458, 0.0361024, 0.0515718, 0.0825773, 0.0778819, 0.0621175, 0.094391, 0.170429, 0.507935
159, 0.0209283, 0.0370383, 0.0358555, 0.0505643, 0.0823305, 0.0768745, 0.0102291, 0.0418363, 0.0734246, 0.501273
160, 0.0209283, 0.0370383, 0.0358555, 0.0505643, 0.083188, 0.0770061, -0.0374866, -0.00575468, -0.0182359, 0.500211
161, 0.0209283, 0.0370383, 0.0360734, 0.0514915, 0.0834059, 0.0779333, 0.00979799, 0.0417195, 0.0710266, 0.501207
162, 0.0209283, 0.0370383, 0.0371852, 0.0532664, 0.0845176, 0.0797082, 0.0537722, 0.0858993, 0.154023, 0.506445
163, 0.0209283, 0.0370383, 0.0371852, 0.0532664, 0.0844295, 0.0788464, 0.00367437, 0.0359168, 0.0578872, 0.500777
164, 0.0209283, 0.0370383, 0.0371852, 0.0532664, 0.0854182, 0.0791017, -0.0436366, -0.0112676, -0.0329042, 0.50048
165, 0.0209283, 0.0370383, 0.0372791, 0.0540914, 0.0855121, 0.0799267, 0.00418629, 0.0367744, 0.0572234, 0.500779
166, 0.0209283, 0.0370383, 0.0382972, 0.0557942, 0.0865302, 0.0816295, 0.0487148, 0.0815374, 0.141135, 0.505486
167, 0.0226579, 0.0394046, 0.0382972, 0.0557942, 0.0882598, 0.0839958, 0.0895392, 0.122578, 0.218625, 0.513477
168, 0.0226579, 0.0394046, 0.0405532, 0.0586371, 0.0905158, 0.0868387, 0.127357, 0.16063, 0.289765, 0.523759
169, 0.0226579, 0.0394046, 0.0405532, 0.0586371, 0.0886343, 0.0841121, 0.0743341, 0.107701, 0.188307, 0.510026
170, 0.0247349, 0.0420961, 0.0405532, 0.0586371, 0.0907113, 0.0868036, 0.113193, 0.146784, 0.261932, 0.519519
171, 0.0247349, 0.0420961, 0.0405532, 0.0586371, 0.0891899, 0.0844359, 0.0605919, 0.0942808, 0.161292, 0.507353
172, 0.0266351, 0.044635, 0.0405532, 0.0586371, 0.0910901, 0.0869748, 0.100635, 0.134562, 0.237066, 0.516068
173, 0.0266351, 0.044635, 0.0429342, 0.0616062, 0.0934711, 0.0899439, 0.13766, 0.171829, 0.30655, 0.526827
174, 0.0293531, 0.0478954, 0.0429342, 0.0616062, 0.0961891, 0.0932043, 0.171399, 0.205797, 0.370209, 0.538774
175, 0.0293531, 0.0478954, 0.0458668, 0.0650362, 0.0991217, 0.0966344, 0.202522, 0.237146, 0.428412, 0.55133
176, 0.0293531, 0.0478954, 0.0458668, 0.0650362, 0.0952923, 0.0919077, 0.148123, 0.182812, 0.324749, 0.53021
177, 0.0269998, 0.0446923, 0.0435135, 0.0618331, 0.092939, 0.0887046, 0.0925283, 0.126346, 0.222274, 0.514106
178, 0.0269998, 0.0446923, 0.0435135, 0.0618331, 0.0919339, 0.0868592, 0.0405977, 0.0745199, 0.123022, 0.504229
